0,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9
400,0.12714,0.18476,0.21328,0.25308,0.31784,0.33447,0.34814,0.35645,0.36002,0.35942,0.33091,0.28992,0.22457,0.17704,0.14971,0.14199,0.13486
401,0.12773,0.18536,0.21387,0.25427,0.31962,0.33626,0.35051,0.35883,0.3618,0.36121,0.33269,0.2917,0.22575,0.17763,0.1503,0.14199,0.13545
402,0.12832,0.18595,0.21506,0.25605,0.322,0.33863,0.3523,0.36121,0.36418,0.36358,0.33447,0.29289,0.22694,0.17823,0.1509,0.14199,0.13545
403,0.12892,0.18714,0.21625,0.25724,0.32378,0.34041,0.35467,0.36358,0.36655,0.36596,0.33685,0.29467,0.22813,0.17942,0.1509,0.14258,0.13545
404,0.13011,0.18773,0.21744,0.25902,0.32556,0.34279,0.35705,0.36596,0.36893,0.36834,0.33863,0.29645,0.22932,0.18001,0.15149,0.14258,0.13605
405,0.1307,0.18833,0.21863,0.26081,0.32794,0.34517,0.35942,0.36834,0.37131,0.37071,0.34101,0.29823,0.23051,0.1806,0.15209,0.14318,0.13605
406,0.13189,0.18892,0.21981,0.26259,0.32972,0.34754,0.3618,0.37071,0.37368,0.37309,0.34338,0.30002,0.2317,0.1812,0.15209,0.14318,0.13605
407,0.13308,0.19011,0.221,0.26378,0.3321,0.34992,0.36477,0.37368,0.37665,0.37606,0.34576,0.3018,0.23288,0.18179,0.15268,0.14377,0.13605
408,0.13367,0.1907,0.22219,0.26556,0.33447,0.3523,0.36715,0.37606,0.37903,0.37844,0.34814,0.30417,0.23407,0.18298,0.15328,0.14377,0.13664
409,0.13486,0.19189,0.22338,0.26734,0.33626,0.35467,0.36952,0.37844,0.382,0.38141,0.35051,0.30596,0.23526,0.18357,0.15328,0.14436,0.13664
410,0.13605,0.19308,0.22457,0.26972,0.33923,0.35764,0.37249,0.382,0.38497,0.38438,0.35289,0.30833,0.23704,0.18417,0.15387,0.14436,0.13664
411,0.13723,0.19367,0.22635,0.2715,0.3416,0.36061,0.37547,0.38497,0.38794,0.38735,0.35586,0.31071,0.23823,0.18536,0.15387,0.14496,0.13664
412,0.13842,0.19486,0.22813,0.27388,0.34457,0.36358,0.37903,0.38794,0.39151,0.39091,0.35883,0.31249,0.24001,0.18595,0.15446,0.14496,0.13723
413,0.13961,0.19605,0.22932,0.27625,0.34754,0.36655,0.382,0.39151,0.39507,0.39388,0.3618,0.31546,0.2412,0.18654,0.15446,0.14496,0.13723
414,0.1408,0.19724,0.2311,0.27863,0.35051,0.37012,0.38556,0.39507,0.39863,0.39804,0.36477,0.31784,0.24298,0.18773,0.15506,0.14496,0.13723
415,0.14199,0.19843,0.23288,0.281,0.35348,0.37368,0.38913,0.39863,0.4022,0.40161,0.36834,0.32021,0.24477,0.18833,0.15506,0.14555,0.13723
416,0.14377,0.20021,0.23526,0.28398,0.35705,0.37725,0.39329,0.40279,0.40636,0.40576,0.3719,0.32319,0.24655,0.18892,0.15506,0.14555,0.13723
