0,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9
473,0.36856,0.32224,0.13568,0.13568,0.24625,0.27821,0.23679,0.22081,0.182,0.12394,0.11057,0.082518,0.077299,0.075016,0.073386,0.073386,0.072733
474,0.37802,0.32975,0.13894,0.13894,0.24984,0.28245,0.2407,0.2244,0.18461,0.1259,0.1122,0.083823,0.078604,0.076321,0.074364,0.074364,0.073712
475,0.38748,0.33725,0.14188,0.14188,0.25408,0.28702,0.24429,0.22798,0.18754,0.12785,0.11383,0.085127,0.079909,0.077299,0.075669,0.075342,0.075016
476,0.39726,0.34508,0.14514,0.14514,0.25832,0.29191,0.24853,0.23157,0.19048,0.12981,0.11546,0.086758,0.080887,0.078604,0.076647,0.076647,0.075995
477,0.40672,0.35225,0.14808,0.14808,0.26256,0.29648,0.25245,0.23549,0.19374,0.13177,0.11742,0.088063,0.082518,0.079909,0.077952,0.077952,0.077299
478,0.41585,0.35975,0.15101,0.15101,0.2668,0.30137,0.25669,0.2394,0.19667,0.13405,0.11937,0.089367,0.083823,0.081213,0.079256,0.07893,0.078604
479,0.42531,0.36758,0.15427,0.15427,0.27136,0.30659,0.26093,0.24331,0.19993,0.13633,0.12133,0.090998,0.085127,0.082518,0.080561,0.080561,0.079909
480,0.43509,0.37541,0.15753,0.15753,0.27593,0.31181,0.26549,0.24755,0.20352,0.13862,0.12361,0.092629,0.086758,0.084149,0.082192,0.081866,0.081213
481,0.44488,0.38324,0.1608,0.1608,0.28082,0.31735,0.27038,0.25179,0.20711,0.1409,0.1259,0.094586,0.088389,0.08578,0.083823,0.083496,0.082844
482,0.45434,0.39106,0.16373,0.16373,0.28539,0.32257,0.27495,0.25603,0.2107,0.14351,0.12818,0.096217,0.09002,0.08741,0.085453,0.085127,0.084475
483,0.4638,0.39889,0.16699,0.16699,0.29028,0.32811,0.27952,0.2606,0.21429,0.14612,0.13046,0.098174,0.091977,0.089041,0.087084,0.087084,0.086432
484,0.47326,0.40672,0.16993,0.16993,0.29517,0.33333,0.28408,0.26484,0.21755,0.14873,0.13275,0.10013,0.093933,0.090998,0.089041,0.088715,0.088063
485,0.48304,0.41455,0.17319,0.17319,0.30007,0.33888,0.28865,0.26908,0.22114,0.15134,0.13536,0.10241,0.09589,0.092955,0.090998,0.090998,0.09002
486,0.4925,0.42205,0.17613,0.17613,0.30463,0.3441,0.29289,0.27299,0.22472,0.15395,0.13796,0.10437,0.097847,0.095238,0.093281,0.092955,0.092303
487,0.50163,0.42955,0.17906,0.17906,0.3092,0.34899,0.29713,0.27691,0.22831,0.15656,0.14057,0.10665,0.10013,0.097521,0.095564,0.095238,0.094586
488,0.51076,0.43705,0.182,0.182,0.31344,0.35388,0.30104,0.28082,0.23157,0.15917,0.14286,0.10926,0.10241,0.099804,0.097847,0.097521,0.096869
489,0.5199,0.44423,0.18493,0.18493,0.31768,0.35845,0.30496,0.28441,0.23483,0.1621,0.14579,0.11187,0.10502,0.10241,0.10013,0.10013,0.099478
490,0.5287,0.4514,0.18754,0.18754,0.32159,0.36269,0.30887,0.288,0.23777,0.16471,0.1484,0.11448,0.10763,0.10502,0.10307,0.10274,0.10209
491,0.53686,0.45793,0.19015,0.19015,0.32518,0.3666,0.31213,0.29126,0.2407,0.16732,0.15134,0.11709,0.11057,0.10763,0.10568,0.10568,0.10502
492,0.54534,0.46445,0.19276,0.19276,0.32844,0.37019,0.31507,0.29419,0.24364,0.17025,0.15427,0.12035,0.1135,0.11089,0.10861,0.10861,0.10796
493,0.55316,0.47032,0.19504,0.19504,0.33138,0.37345,0.31768,0.2968,0.24625,0.17286,0.15721,0.12329,0.11676,0.11383,0.11187,0.11187,0.11089
